
2024/05/31 (17:54:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/31 (17:54:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (17:54:42) | WARNING: ROCm SMI: Failed to get VRAM utilization

2024/05/31 (17:54:43) | ===> btop++ v.1.3.2
2024/05/31 (17:54:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/31 (17:54:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (17:54:43) | WARNING: ROCm SMI: Failed to get VRAM utilization

2024/05/31 (17:54:43) | ===> btop++ v.1.3.2
2024/05/31 (17:54:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/31 (17:54:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (17:54:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/31 (17:54:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/31 (17:54:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/03 (17:21:52) | ===> btop++ v.1.3.2
2024/06/03 (17:21:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/03 (17:21:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/03 (17:21:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/03 (17:21:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/03 (17:21:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (09:48:54) | ===> btop++ v.1.3.2
2024/06/05 (09:48:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (09:48:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (09:48:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/05 (09:48:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (09:48:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (09:50:36) | ===> btop++ v.1.3.2
2024/06/05 (09:50:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (09:50:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (09:50:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/05 (09:50:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (09:50:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (09:50:55) | ===> btop++ v.1.3.2
2024/06/05 (09:50:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (09:50:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (09:50:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/05 (09:50:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (09:50:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (17:50:34) | ===> btop++ v.1.3.2
2024/06/05 (17:50:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (17:50:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (17:50:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/05 (17:50:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (17:50:34) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/06/05 (17:50:40) | ERROR: Stall in Runner thread, restarting!

2024/06/05 (17:50:45) | ===> btop++ v.1.3.2
2024/06/05 (17:50:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (17:50:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (17:50:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/05 (17:50:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (17:50:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/05 (17:50:53) | ===> btop++ v.1.3.2
2024/06/05 (17:50:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (17:50:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (17:50:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/05 (17:50:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/05 (17:50:53) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/06/05 (17:50:59) | ERROR: Stall in Runner thread, restarting!

2024/06/05 (17:51:12) | ===> btop++ v.1.3.2
2024/06/05 (17:51:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/05 (17:51:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/05 (17:51:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
